coeff,SH_degree,SH_order,40950
g,0,0,0
g,1,0,-1452.057159
g,1,1,-312.6506209
g,2,0,-606.0643056
g,2,1,2446.938462733881
g,2,2,133.0817944279029
g,3,0,1291.981059412248
g,3,1,3120.310682008602
g,3,2,-579.8246506
g,3,3,450.6318330280277
g,4,0,-46.56705018
g,4,1,28.845212797065603
g,4,2,43.23037036946712
g,4,3,678.3247019525026
g,4,4,466.1201604952408
g,5,0,-207.0902562
g,5,1,-69.67072936
g,5,2,-302.332916
g,5,3,-303.027616
g,5,4,392.07190857670525
g,5,5,43.67114639183311
g,6,0,-3.858150866
g,6,1,-64.04240693
g,6,2,29.86657911534948
g,6,3,-44.01901287
g,6,4,-13.7514449
g,6,5,56.41403496906174
g,6,6,-16.63117328
g,7,0,8.109249652273807
g,7,1,-16.51373683
g,7,2,-0.45469122
g,7,3,-3.425280095
g,7,4,23.28413880808789
g,7,5,14.31496488
g,7,6,-7.206137992
g,7,7,-9.980585126
g,8,0,3.5900107329991773
g,8,1,0.3086478625135545
g,8,2,1.0802122039672073
g,8,3,0.1349926263188386
g,8,4,-2.34553665
g,8,5,6.289090908111075
g,8,6,1.2285612770366832
g,8,7,-5.755795451
g,8,8,-0.723191361
g,9,0,1.037875108
g,9,1,0.6938473320066855
g,9,2,0.689381411
g,9,3,1.7604252911096516
g,9,4,0.4316158979083119
g,9,5,-0.121654319
g,9,6,-0.191892247
g,9,7,-1.346368394
g,9,8,-0.762780158
g,9,9,0.7678756294188923
g,10,0,-0.033365435
g,10,1,0.3510909187025884
g,10,2,-0.350746483
g,10,3,0.2111758764411508
g,10,4,0.1314174414798514
g,10,5,-0.014570185
g,10,6,0.1917292657231253
g,10,7,-0.550190557
g,10,8,-0.252983248
g,10,9,0.2261741130996971
g,10,10,0.109238202
g,11,0,0
g,11,1,0
g,11,2,0
g,11,3,0
g,11,4,0
g,11,5,0
g,11,6,0
g,11,7,0
g,11,8,0
g,11,9,0
g,11,10,0
g,11,11,0
g,12,0,0
g,12,1,0
g,12,2,0
g,12,3,0
g,12,4,0
g,12,5,0
g,12,6,0
g,12,7,0
g,12,8,0
g,12,9,0
g,12,10,0
g,12,11,0
g,12,12,0
g,13,0,0
g,13,1,0
g,13,2,0
g,13,3,0
g,13,4,0
g,13,5,0
g,13,6,0
g,13,7,0
g,13,8,0
g,13,9,0
g,13,10,0
g,13,11,0
g,13,12,0
g,13,13,0
h,0,0,0
h,1,0,0
h,1,1,148.8858125324634
h,2,0,0
h,2,1,-80.51854896
h,2,2,452.8320503171748
h,3,0,0
h,3,1,1584.861415919222
h,3,2,-433.2693173
h,3,3,582.3015229847408
h,4,0,0
h,4,1,-21.99519467
h,4,2,268.02616006926684
h,4,3,660.3180446010751
h,4,4,221.00627064218563
h,5,0,0
h,5,1,202.4562996468869
h,5,2,-79.30640671
h,5,3,207.63228612880576
h,5,4,289.7610949881837
h,5,5,-95.78553578
h,6,0,0
h,6,1,74.47587359
h,6,2,79.29054815423258
h,6,3,74.23883356908343
h,6,4,61.21999344080769
h,6,5,19.29609033635176
h,6,6,-41.1990861
h,7,0,0
h,7,1,1.026100105552968
h,7,2,23.588244945468364
h,7,3,20.560487235247088
h,7,4,40.54591576786124
h,7,5,-9.532026264
h,7,6,-2.089148071
h,7,7,0.7732081015450375
h,8,0,0
h,8,1,-1.019412345
h,8,2,3.633691075711309
h,8,3,2.212004896189852
h,8,4,3.6342765888472095
h,8,5,4.034428649140083
h,8,6,-6.139804364
h,8,7,2.602833749936615
h,8,8,1.7970881667127403
h,9,0,0
h,9,1,-1.219779874
h,9,2,0.7659859651965162
h,9,3,0.4958528051336855
h,9,4,0.3334998760004987
h,9,5,-0.56352342
h,9,6,0.1243591021884297
h,9,7,-1.185917146
h,9,8,1.4908265378301857
h,9,9,0.058392702
h,10,0,0
h,10,1,-0.432468654
h,10,2,-0.330208387
h,10,3,-0.024227304
h,10,4,-0.15965721
h,10,5,0.058285574
h,10,6,-0.199601863
h,10,7,0.005945767
h,10,8,0.2411763501492544
h,10,9,0.1300366785653935
h,10,10,-0.105845301
